comps,reqs_per_comp,comps_per_req,overlap,time,num_workflows
5,1,1,0,0.9397680759429932,5
5,1,2,0,0.5304915904998779,10
5,1,3,0,0.770150899887085,15
5,1,4,0,1.0140647888183594,20
5,1,5,0,1.2707114219665527,25
5,2,1,0,0.48236799240112305,5
5,2,2,0,1.5382404327392578,20
5,2,3,0,3.357180595397949,45
5,2,4,0,5.974832534790039,80
5,2,5,0,9.331451416015625,125
5,3,1,0,0.6282896995544434,5
5,3,2,0,3.8844714164733887,40
5,3,3,0,13.307795286178589,135
5,3,4,0,30.255167245864868,320
5,3,5,0,59.493733644485474,625
5,4,1,0,0.7685539722442627,5
5,4,2,0,9.445988893508911,80
5,4,3,0,47.43778896331787,405
5,4,4,0,151.93314170837402,1280
5,4,5,0,371.7323877811432,3125
5,5,1,0,0.920762300491333,5
5,5,2,0,22.48090672492981,160
5,5,3,0,169.36288928985596,1215
5,5,4,0,723.9200122356415,5120
5,5,5,0,2216.9993481636047,15625
10,1,1,0,0.5755901336669922,10
10,1,2,0,1.0364253520965576,20
10,1,3,0,1.499260663986206,30
10,1,4,0,2.025127410888672,40
10,1,5,0,2.4976212978363037,50
10,2,1,0,0.9234299659729004,10
10,2,2,0,3.0297017097473145,40
10,2,3,0,6.579861164093018,90
10,2,4,0,11.567820310592651,160
10,2,5,0,18.243683099746704,250
10,3,1,0,1.2251081466674805,10
10,3,2,0,7.677613019943237,80
10,3,3,0,25.403030395507812,270
10,3,4,0,60.35705518722534,640
10,3,5,0,118.33688640594482,1250
10,4,1,0,1.5182266235351562,10
10,4,2,0,18.782604217529297,160
10,4,3,0,94.3612334728241,810
10,4,4,0,299.85999369621277,2560
10,4,5,0,739.8700838088989,6250
10,5,1,0,1.8233702182769775,10
10,5,2,0,44.30880117416382,320
10,5,3,0,337.73626804351807,2430
10,5,4,0,1450.515286207199,10240
10,5,5,0,4483.532296657562,31250
100,1,1,0,6.024718999862671,100
100,1,2,0,10.840095281600952,200
100,1,3,0,15.927409887313843,300
100,1,4,0,21.204328060150146,400
100,1,5,0,26.425472497940063,500
100,2,1,0,10.660340547561646,100
100,2,2,0,34.14414143562317,400
100,2,3,0,74.2503011226654,900
100,2,4,0,128.80763244628906,1600
100,2,5,0,200.9112150669098,2500
100,3,1,0,14.57909345626831,100
100,3,2,0,86.88502025604248,800
100,3,3,0,282.60369753837585,2700
100,3,4,0,676.2406721115112,6400
100,3,5,0,1326.8097968101501,12500
100,4,1,0,18.529970169067383,100
100,4,2,0,210.00472474098206,1600
100,4,3,0,1040.9515314102173,8100
100,4,4,0,3301.7049424648285,25600
100,4,5,0,8209.338013648987,62500
100,5,1,0,22.526732921600342,100
100,5,2,0,497.6588990688324,3200
100,5,3,0,3774.7000420093536,24300
100,5,4,0,15719.800761699677,102400
100,5,5,0,48066.98139643669,312500
