,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Partition Comp.,Imputation Comp.,Scaling Comp.,Avg. Bal. Acc.
,,,,,first-absolute,drop,decimal,44.70%
,,,,,,,min-max,48.90%
,,,,,,,z-score,44.65%
,,,,,,mean,min-max,53.10%
,,,,,,,z-score,49.60%
,,,,,first-relative,drop,z-score,55.00%
,,,,,,mean,decimal,64.95%
,,,,,,,min-max,65.57%
,,,,,,,z-score,50.50%
,,,,,random-absolute,drop,min-max,55.10%
,,,,,,,z-score,51.30%
,,,,,,mean,decimal,62.20%
,,,,,,,min-max,51.90%
,,,,,,,z-score,57.17%
,,,,,random-relative,drop,decimal,56.60%
,,,,,,,min-max,53.70%
,,,,,,,z-score,63.40%
,,,,,,mean,decimal,65.00%
,,,,,,,min-max,64.70%
,,,,,,,z-score,55.30%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Partition Comp.,Imputation Comp.,Scaling Comp.,Avg. Bal. Acc.
,,,,,random-absolute,drop,decimal,98.1%
,,,,,,,min-max,93.6%
,,,,,,,z-score,96%
,,,,,,mean,decimal,83.5%
,,,,,,,min-max,95.95%
,,,,,,,z-score,94.85%
,,,,,random-relative,drop,decimal,89%
,,,,,,,min-max,96.55%
,,,,,,,z-score,98.45%
,,,,,,mean,decimal,86.45%
,,,,,,,min-max,97.95%
,,,,,,,z-score,94.6%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Partition Comp.,Imputation Comp.,Scaling Comp.,Avg. Bal. Acc.
,,,,,first-absolute,mean,decimal,59.5%
,,,,,random-absolute,mean,decimal,60.20%
,,,,,,,z-score,57.35%
,,,,,random-relative,mean,z-score,60.60%
